 
[*] Checkpoint   = epoch.ckpt
[*] Input video  = trial.mp4
[*] Output video = trial_output.mp4
[✓] Docker image 'segformer' already exists. Skipping build.
[Frame 258] FPS: 5.65
[Frame 259] FPS: 5.74
[Frame 260] FPS: 5.98
[Frame 261] FPS: 6.03
[Frame 262] FPS: 6.21
[Frame 263] FPS: 6.09
[Frame 264] FPS: 5.42
[Frame 265] FPS: 5.56
[Frame 266] FPS: 5.93
[Frame 267] FPS: 5.63
[Frame 268] FPS: 5.54
[Frame 269] FPS: 6.04
[Frame 270] FPS: 6.04
[Frame 271] FPS: 5.96
[Frame 272] FPS: 6.67
[Frame 273] FPS: 6.00
[Frame 274] FPS: 6.44
[Frame 275] FPS: 5.98
[Frame 276] FPS: 5.37
[Frame 277] FPS: 5.35
[Frame 278] FPS: 5.80
[Frame 279] FPS: 5.58
[Frame 280] FPS: 5.65
[Frame 281] FPS: 5.89
[Frame 282] FPS: 5.63
[Frame 283] FPS: 5.86
[Frame 284] FPS: 5.87
[Frame 285] FPS: 5.58
[Frame 286] FPS: 5.87
[Frame 287] FPS: 5.90
[Frame 288] FPS: 5.72
[Frame 289] FPS: 5.45
[Frame 290] FPS: 5.59
[Frame 291] FPS: 5.76
[Frame 292] FPS: 5.80
[Frame 293] FPS: 6.23
[Frame 294] FPS: 6.09
[Frame 295] FPS: 5.96
[Frame 296] FPS: 6.53
[Frame 297] FPS: 5.91
[Frame 298] FPS: 6.01
[Frame 299] FPS: 5.81
[Frame 300] FPS: 6.70
[Frame 301] FPS: 6.26
[Frame 302] FPS: 6.38
[Frame 303] FPS: 6.65
[Frame 304] FPS: 6.37
[Frame 305] FPS: 6.02
[Frame 306] FPS: 5.71
[Frame 307] FPS: 7.27
[Frame 308] FPS: 6.28
[Frame 309] FPS: 6.21
[Frame 310] FPS: 6.98
[Frame 311] FPS: 6.42
[Frame 312] FPS: 6.05
[Frame 313] FPS: 5.87
[Frame 314] FPS: 5.70
[Frame 315] FPS: 5.86
[Frame 316] FPS: 6.44
[Frame 317] FPS: 6.03
[Frame 318] FPS: 5.83
[Frame 319] FPS: 5.79
[Frame 320] FPS: 6.13
[Frame 321] FPS: 5.98
[Frame 322] FPS: 6.18
[Frame 323] FPS: 6.58
[Frame 324] FPS: 6.72
[Frame 325] FPS: 6.15
[Frame 326] FPS: 6.23
[Frame 327] FPS: 5.65
[Frame 328] FPS: 5.98
[Frame 329] FPS: 6.49
[Frame 330] FPS: 5.68
[Frame 331] FPS: 6.22
[Frame 332] FPS: 5.88
[Frame 333] FPS: 6.03
[Frame 334] FPS: 5.58
[Frame 335] FPS: 5.96
[Frame 336] FPS: 5.90
[Frame 337] FPS: 5.97
[Frame 338] FPS: 6.45
[Frame 339] FPS: 5.96
[Frame 340] FPS: 6.63
[Frame 341] FPS: 6.12
[Frame 342] FPS: 6.08
[Frame 343] FPS: 6.11
[Frame 344] FPS: 5.93
[Frame 345] FPS: 5.68
[Frame 346] FPS: 7.24
[Frame 347] FPS: 6.19
[Frame 348] FPS: 6.01
[Frame 349] FPS: 6.03
[Frame 350] FPS: 6.18
[Frame 351] FPS: 6.04
[Frame 352] FPS: 5.60
[Frame 353] FPS: 6.06
[Frame 354] FPS: 5.64
[Frame 355] FPS: 7.14
[Frame 356] FPS: 6.06
[Frame 357] FPS: 6.26
[Frame 358] FPS: 6.44
[Frame 359] FPS: 6.26
[Frame 360] FPS: 5.96
[Frame 361] FPS: 5.93
[Frame 362] FPS: 5.59
[Frame 363] FPS: 5.82
[Frame 364] FPS: 4.99
[Frame 365] FPS: 5.11
[Frame 366] FPS: 5.80
[Frame 367] FPS: 5.74
[Frame 368] FPS: 5.90
[Frame 369] FPS: 5.95
[Frame 370] FPS: 6.01
[Frame 371] FPS: 5.99
[Frame 372] FPS: 6.15
[Frame 373] FPS: 6.08
[Frame 374] FPS: 6.61
[Frame 375] FPS: 5.96
[Frame 376] FPS: 5.55
[Frame 377] FPS: 5.92
[Frame 378] FPS: 5.82
[Frame 379] FPS: 6.25
[Frame 380] FPS: 6.48
[Frame 381] FPS: 6.25
[Frame 382] FPS: 5.96
[Frame 383] FPS: 5.90
[Frame 384] FPS: 6.49
[Frame 385] FPS: 5.71
[Frame 386] FPS: 5.94
[Frame 387] FPS: 6.38
[Frame 388] FPS: 5.91
[Frame 389] FPS: 5.74
[Frame 390] FPS: 5.71
[Frame 391] FPS: 7.22
[Frame 392] FPS: 5.93
[Frame 393] FPS: 6.16
[Frame 394] FPS: 6.02
[Frame 395] FPS: 6.16
[Frame 396] FPS: 5.87
[Frame 397] FPS: 6.56
[Frame 398] FPS: 5.49
[Frame 399] FPS: 6.01
[Frame 400] FPS: 6.02
[Frame 401] FPS: 5.25
[Frame 402] FPS: 6.50
[Frame 403] FPS: 5.92
[Frame 404] FPS: 5.52
[Frame 405] FPS: 5.97
[Frame 406] FPS: 6.00
[Frame 407] FPS: 6.23
[Frame 408] FPS: 5.42
[Frame 409] FPS: 6.09
[Frame 410] FPS: 5.89
[Frame 411] FPS: 6.40
[Frame 412] FPS: 6.42
[Frame 413] FPS: 6.71
[Frame 414] FPS: 6.26
[Frame 415] FPS: 5.95
[Frame 416] FPS: 5.92
[Frame 417] FPS: 5.76
[Frame 418] FPS: 5.64
[Frame 419] FPS: 5.76
[Frame 420] FPS: 5.62
[Frame 421] FPS: 6.15
[Frame 422] FPS: 6.16
[Frame 423] FPS: 6.51
[Frame 424] FPS: 6.14
[Frame 425] FPS: 6.33
[Frame 426] FPS: 5.40
[Frame 427] FPS: 5.83
[Frame 428] FPS: 5.97
[Frame 429] FPS: 6.01
[Frame 430] FPS: 6.17
[Frame 431] FPS: 6.11
[Frame 432] FPS: 5.96
[Frame 433] FPS: 5.67
